Course,Course URL,Details
Introduction to Data Science in Python,https://learn.datacamp.com/courses/introduction-to-data-science-in-python,Dive into data science using Python and learn how to effectively analyze and visualize your data.
Introduction to Data Visualization with Matplotlib,https://learn.datacamp.com/courses/introduction-to-data-visualization-with-matplotlib,"Learn how to create, customize, and share data visualizations using Matplotlib."
Feature Engineering for Machine Learning in Python,https://learn.datacamp.com/courses/feature-engineering-for-machine-learning-in-python,Create new features to improve the performance of your Machine Learning models.
Creating Robust Workflows in Python,https://learn.datacamp.com/courses/creating-robust-workflows-in-python,Learn to develop a set of principles for your data science and software development projects.
Foundations of Probability in Python,https://learn.datacamp.com/courses/foundations-of-probability-in-python,"Learn fundamental probability concepts like random variables, mean and variance, probability distributions, and condi..."
Writing Efficient Code with pandas,https://learn.datacamp.com/courses/writing-efficient-code-with-pandas,Learn efficient techniques in pandas to optimize your Python code.
Python for Spreadsheet Users,https://learn.datacamp.com/courses/python-for-spreadsheet-users,Use your knowledge of common spreadsheet functions and techniques to explore Python!
Improving Your Data Visualizations in Python,https://learn.datacamp.com/courses/improving-your-data-visualizations-in-python,Learn to construct compelling and attractive visualizations that help communicate results efficiently and effectively.
Cluster Analysis in Python,https://learn.datacamp.com/courses/cluster-analysis-in-python,"In this course, you will be introduced to unsupervised learning through techniques such as hierarchical and k-means c..."
AI Fundamentals,https://learn.datacamp.com/courses/ai-fundamentals,Learn the fundamentals of AI. No programming experience required!
Analyzing Marketing Campaigns with pandas,https://learn.datacamp.com/courses/analyzing-marketing-campaigns-with-pandas,"Build up your pandas skills and answer marketing questions by merging, slicing, visualizing, and more!"
Machine Learning with PySpark,https://learn.datacamp.com/courses/machine-learning-with-pyspark,Learn how to make predictions with Apache Spark.
Introduction to Spark SQL in Python,https://learn.datacamp.com/courses/introduction-to-spark-sql-in-python,Learn how to manipulate data and create machine learning feature sets in Spark using SQL in Python.
Introduction to TensorFlow in Python,https://learn.datacamp.com/courses/introduction-to-tensorflow-in-python,Learn the fundamentals of neural networks and how to build deep learning models using TensorFlow.
Model Validation in Python,https://learn.datacamp.com/courses/model-validation-in-python,"Learn the basics of model validation, validation techniques, and begin creating validated and high performing models."
Hyperparameter Tuning in Python,https://learn.datacamp.com/courses/hyperparameter-tuning-in-python,Learn to tune hyperparameters in Python.
Ensemble Methods in Python,https://learn.datacamp.com/courses/ensemble-methods-in-python,Learn how to build advanced and effective machine learning models in Python using ensemble techniques such as bagging...
Exploratory Data Analysis in Python,https://learn.datacamp.com/courses/exploratory-data-analysis-in-python,"Learn how to explore, visualize, and extract insights from data."
Generalized Linear Models in Python,https://learn.datacamp.com/courses/generalized-linear-models-in-python,"Extend your regression toolbox with the logistic and Poisson models and learn to train, understand, and validate them..."
Writing Functions in Python,https://learn.datacamp.com/courses/writing-functions-in-python,"Learn to use best practices to write maintainable, reusable, complex functions with good documentation."
Unit Testing for Data Science in Python,https://learn.datacamp.com/courses/unit-testing-for-data-science-in-python,Learn how to write unit tests for your Data Science projects in Python using pytest.
Analyzing IoT Data in Python,https://learn.datacamp.com/courses/analyzing-iot-data-in-python,"Learn how to import, clean and manipulate IoT data in Python to make it ready for machine learning."
Practicing Coding Interview Questions in Python,https://learn.datacamp.com/courses/practicing-coding-interview-questions-in-python,Prepare for your next coding interviews in Python.
Practicing Statistics Interview Questions in Python,https://learn.datacamp.com/courses/practicing-statistics-interview-questions-in-python,"Prepare for your next statistics interview by reviewing concepts like conditional probabilities, A/B testing, the bia..."
Introduction to Deep Learning with Keras,https://learn.datacamp.com/courses/introduction-to-deep-learning-with-keras,Learn to start developing deep learning models with Keras.
Cleaning Data with PySpark,https://learn.datacamp.com/courses/cleaning-data-with-pyspark,Learn how to clean data with Apache Spark in Python.
Experimental Design in Python,https://learn.datacamp.com/courses/experimental-design-in-python,"Learn about experimental design, and how to explore your data to ask and answer meaningful questions."
Feature Engineering for NLP in Python,https://learn.datacamp.com/courses/feature-engineering-for-nlp-in-python,Learn techniques to extract useful information from text and process them into a format suitable for machine learning.
Streamlined Data Ingestion with pandas,https://learn.datacamp.com/courses/streamlined-data-ingestion-with-pandas,"Learn to acquire data from common file formats and systems such as CSV files, spreadsheets, JSON, SQL databases, and ..."
Winning a Kaggle Competition in Python,https://learn.datacamp.com/courses/winning-a-kaggle-competition-in-python,Learn how to approach and win competitions on Kaggle.
Sentiment Analysis in Python,https://learn.datacamp.com/courses/sentiment-analysis-in-python,Are customers thrilled with your products or is your service lacking? Learn how to perform an end-to-end sentiment an...
Command Line Automation in Python,https://learn.datacamp.com/courses/command-line-automation-in-python,Learn to automate many common file system tasks and be able to manage and communicate with processes.
Image Processing in Python,https://learn.datacamp.com/courses/image-processing-in-python,"Learn to process, transform, and manipulate images at your will."
Regular Expressions in Python,https://learn.datacamp.com/courses/regular-expressions-in-python,Learn about string manipulation and become a master at using regular expressions.
ARIMA Models in Python,https://learn.datacamp.com/courses/arima-models-in-python,Learn about ARIMA models in Python and become an expert in time series analysis.
Dealing with Missing Data in Python,https://learn.datacamp.com/courses/dealing-with-missing-data-in-python,"Learn how to identify, analyze, remove and impute missing data in Python."
Recurrent Neural Networks for Language Modeling in P...,https://learn.datacamp.com/courses/recurrent-neural-networks-for-language-modeling-in-python,"Use RNNs to classify text sentiment, generate sentences, and translate text between languages."
Introduction to AWS Boto in Python,https://learn.datacamp.com/courses/introduction-to-aws-boto-in-python,Learn about AWS Boto and harnessing cloud technology to optimize your data workflow.
Machine Translation in Python,https://learn.datacamp.com/courses/machine-translation-in-python,Are you curious about the inner workings of the models that are behind products like Google Translate?
Spoken Language Processing in Python,https://learn.datacamp.com/courses/spoken-language-processing-in-python,"Learn to load, transform, and transcribe human speech from raw audio files in Python."
Building Data Engineering Pipelines in Python,https://learn.datacamp.com/courses/building-data-engineering-pipelines-in-python,Learn how to build data engineering pipelines in Python.
Introduction to Portfolio Analysis in Python,https://learn.datacamp.com/courses/introduction-to-portfolio-analysis-in-python,"Learn how to calculate meaningful measures of risk and performance, and how to compile an optimal portfolio for the d..."
Credit Risk Modeling in Python,https://learn.datacamp.com/courses/credit-risk-modeling-in-python,"Learn how to prepare credit application data, apply machine learning and business rules to reduce risk and ensure pro..."
Machine Learning for Marketing in Python,https://learn.datacamp.com/courses/machine-learning-for-marketing-in-python,"From customer lifetime value, predicting churn to segmentation - learn and implement Machine Learning use cases for M..."
Practicing Machine Learning Interview Questions in P...,https://learn.datacamp.com/courses/practicing-machine-learning-interview-questions-in-python,"Sharpen your knowledge in machine learning, and prepare for any potential question you might get in a machine learnin..."
Introduction to Data Engineering,https://learn.datacamp.com/courses/introduction-to-data-engineering,Learn about the world of data engineering with an overview of all its relevant topics and tools!
Pandas Joins for Spreadsheet Users,https://learn.datacamp.com/courses/pandas-joins-for-spreadsheet-users,Learn how to effectively and efficiently join datasets in tabular format using the Python Pandas library.
Quantitative Risk Management in Python,https://learn.datacamp.com/courses/quantitative-risk-management-in-python,"Learn about risk management, value at risk and more applied to the 2008 financial crisis using Python."
Natural Language Generation in Python,https://learn.datacamp.com/courses/natural-language-generation-in-python,"Imitate Shakespear, translate language and autocomplete sentences using Deep Learning in Python."
Predicting CTR with Machine Learning in Python,https://learn.datacamp.com/courses/predicting-ctr-with-machine-learning-in-python,Learn how to predict click-through rates on ads and implement basic machine learning models in Python so that you can...
Data Manipulation with pandas,https://learn.datacamp.com/courses/data-manipulation-with-pandas,Use the world’s most popular Python data science package to manipulate data and calculate summary statistics.
GARCH Models in Python,https://learn.datacamp.com/courses/garch-models-in-python,"Learn about GARCH Models, how to implement them and calibrate them on financial data from stocks to foreign exchange."
Joining Data with pandas,https://learn.datacamp.com/courses/joining-data-with-pandas,Learn to combine data from multiple tables by joining data together using pandas.
Data Cleaning in Python,https://learn.datacamp.com/courses/data-cleaning-in-python,Learn to diagnose and treat dirty data and develop the skills needed to transform your raw data into accurate insights!
Introduction to Python,https://learn.datacamp.com/courses/intro-to-python-for-data-science,Master the basics of data analysis in Python. Expand your skillset by learning scientific computing with numpy.
